url,entity_id,canonical_name,trust_score,lifecycle,package,remote_endpoint_count,current_runnable_entry,verdict,reasons,uniqueness_classes
/servers/postgres-mcp-server,postgres-mcp,postgres-mcp,38,active,,0,no,noindex,Setup/config promise currently has no package or remote endpoint; keep out of the index until the exact entity is runnable or retarget the page,editorial; computed (install tool cannot be counted while commands are placeholders)
/servers/context7-mcp-server,upstash-context7-mcp,@upstash/context7-mcp,83,active,@upstash/context7-mcp,0,yes,enrich,Exact entity exists with a runnable entry; retain URL and add dated install verification plus troubleshooting evidence,editorial; tool; computed
/servers/github-mcp-server,github-github-mcp-server,@github/github-mcp-server,67,active,,0,no,noindex,Setup/config promise currently has no package or remote endpoint; keep out of the index until the exact entity is runnable or retarget the page,editorial; computed (install tool cannot be counted while commands are placeholders)
/servers/filesystem-mcp-server,modelcontextprotocol-server-filesystem,@modelcontextprotocol/server-filesystem,72,active,@modelcontextprotocol/server-filesystem,0,yes,enrich,Exact entity exists with a runnable entry; retain URL and add dated install verification plus troubleshooting evidence,editorial; tool; computed
/servers/figma-mcp-server,figma-developer-mcp,figma-developer-mcp,70,active,figma-developer-mcp,0,yes,enrich,Exact entity exists with a runnable entry; retain URL and add dated install verification plus troubleshooting evidence,editorial; tool; computed
/servers/playwright-mcp-server,playwright-mcp,@playwright/mcp,80,active,@playwright/mcp,0,yes,enrich,Exact entity exists with a runnable entry; retain URL and add dated install verification plus troubleshooting evidence,editorial; tool; computed
/servers/linear-mcp-server,linear-mcp,@linear/mcp,28,unverifiable,,0,no,noindex,Setup/config promise currently has no package or remote endpoint; keep out of the index until the exact entity is runnable or retarget the page,editorial; computed (install tool cannot be counted while commands are placeholders)
/servers/firecrawl-mcp-server,firecrawl-mcp-server,firecrawl-mcp-server,74,active,firecrawl-mcp,0,yes,enrich,Exact entity exists with a runnable entry; retain URL and add dated install verification plus troubleshooting evidence,editorial; tool; computed
/servers/airtable-mcp-server,airtable-mcp-server,airtable-mcp-server,62,active,airtable-mcp-server,0,yes,enrich,Exact entity exists with a runnable entry; retain URL and add dated install verification plus troubleshooting evidence,editorial; tool; computed
/servers/shopify-mcp-server,shopify-mcp,shopify-mcp,48,active,shopify-mcp,0,yes,enrich,Exact entity exists with a runnable entry; retain URL and add dated install verification plus troubleshooting evidence,editorial; tool; computed
/servers/sentry-mcp-server,sentry-mcp,sentry-mcp,74,active,@sentry/mcp-server,0,yes,enrich,Exact entity exists with a runnable entry; retain URL and add dated install verification plus troubleshooting evidence,editorial; tool; computed
/servers/tavily-mcp-server,tavily-mcp,tavily-mcp,58,active,tavily-mcp,0,yes,enrich,Exact entity exists with a runnable entry; retain URL and add dated install verification plus troubleshooting evidence,editorial; tool; computed
/servers/exa-mcp-server,exa-mcp-server,exa-mcp-server,67,active,exa-mcp-server,0,yes,enrich,Exact entity exists with a runnable entry; retain URL and add dated install verification plus troubleshooting evidence,editorial; tool; computed
/servers/perplexity-mcp-server,perplexity-mcp,perplexity-mcp,59,active,,0,no,noindex,Setup/config promise currently has no package or remote endpoint; keep out of the index until the exact entity is runnable or retarget the page,editorial; computed (install tool cannot be counted while commands are placeholders)
/servers/qdrant-mcp-server,mcp-server-qdrant,mcp-server-qdrant,43,active,,0,no,noindex,Setup/config promise currently has no package or remote endpoint; keep out of the index until the exact entity is runnable or retarget the page,editorial; computed (install tool cannot be counted while commands are placeholders)
/servers/twilio-mcp-server,twilio-mcp,twilio-mcp,36,active,,0,no,noindex,Setup/config promise currently has no package or remote endpoint; keep out of the index until the exact entity is runnable or retarget the page,editorial; computed (install tool cannot be counted while commands are placeholders)
/servers/fetch-mcp-server,modelcontextprotocol-server-fetch,@modelcontextprotocol/server-fetch,74,active,@modelcontextprotocol/server-fetch,0,yes,enrich,Exact entity exists with a runnable entry; retain URL and add dated install verification plus troubleshooting evidence,editorial; tool; computed
/servers/memory-mcp-server,modelcontextprotocol-server-memory,@modelcontextprotocol/server-memory,71,active,@modelcontextprotocol/server-memory,0,yes,enrich,Exact entity exists with a runnable entry; retain URL and add dated install verification plus troubleshooting evidence,editorial; tool; computed
/servers/anki-mcp-server,ai-ankimcp-anki-mcp-server,ai.ankimcp/anki-mcp-server,77,active,@ankimcp/anki-mcp-server,0,yes,enrich,Exact entity exists with a runnable entry; retain URL and add dated install verification plus troubleshooting evidence,editorial; tool; computed
/servers/n8n-mcp-server,n8n-mcp,n8n-mcp,69,active,,0,no,noindex,Setup/config promise currently has no package or remote endpoint; keep out of the index until the exact entity is runnable or retarget the page,editorial; computed (install tool cannot be counted while commands are placeholders)
/servers/aws-mcp-server,aws-mcp-server,aws-mcp-server,67,active,,0,no,noindex,Setup/config promise currently has no package or remote endpoint; keep out of the index until the exact entity is runnable or retarget the page,editorial; computed (install tool cannot be counted while commands are placeholders)
/servers/atlassian-mcp-server,atlassian-mcp-server,atlassian-mcp-server,56,active,,0,no,noindex,Setup/config promise currently has no package or remote endpoint; keep out of the index until the exact entity is runnable or retarget the page,editorial; computed (install tool cannot be counted while commands are placeholders)
/servers/microsoft-mcp-server,microsoft-mcp,microsoft-mcp,64,active,,0,no,noindex,Setup/config promise currently has no package or remote endpoint; keep out of the index until the exact entity is runnable or retarget the page,editorial; computed (install tool cannot be counted while commands are placeholders)
